Symbol,Signal,Type,EntryTime,Macro,Phase,Month,PnL_USD,ExitReason,BarsHeld
AVAXUSDT,LiquiditySweepLong,LONG,2021-10-05T20:00:00.000Z,UP,TRAIN,2021-10,-2.98,STOP,2
AVAXUSDT,LiquiditySweepLong,LONG,2021-10-31T12:00:00.000Z,FLAT,TRAIN,2021-10,3.38,TP1,2
AVAXUSDT,EmaRetestLong,LONG,2021-11-11T16:00:00.000Z,UP,TRAIN,2021-11,-2.69,STOP,3
AVAXUSDT,EmaRetestLong,LONG,2021-11-13T08:00:00.000Z,UP,TRAIN,2021-11,5.58,TP1,1
AVAXUSDT,EmaRetestLong,LONG,2021-12-13T00:00:00.000Z,UP,TRAIN,2021-12,-2.39,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-01-05T00:00:00.000Z,FLAT,TRAIN,2022-01,-2.88,STOP,4
AVAXUSDT,EmaRetestLong,LONG,2022-01-15T00:00:00.000Z,UP,TRAIN,2022-01,3.38,TP1,9
AVAXUSDT,EmaRetestLong,LONG,2022-01-16T12:00:00.000Z,UP,TRAIN,2022-01,-2.06,STOP,3
AVAXUSDT,EmaRetestLong,LONG,2022-02-01T08:00:00.000Z,UP,TRAIN,2022-02,4.82,TP1,4
AVAXUSDT,EmaRetestLong,LONG,2022-02-06T16:00:00.000Z,UP,TRAIN,2022-02,5.58,TP1,3
AVAXUSDT,EmaRetestLong,LONG,2022-02-11T04:00:00.000Z,UP,TRAIN,2022-02,-2.42,STOP,3
AVAXUSDT,LiquiditySweepLong,LONG,2022-02-12T08:00:00.000Z,UP,TRAIN,2022-02,-2.79,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-02-20T16:00:00.000Z,UP,TRAIN,2022-02,-3.11,STOP,4
AVAXUSDT,LiquiditySweepLong,LONG,2022-02-21T12:00:00.000Z,FLAT,TRAIN,2022-02,-2.47,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-03-12T00:00:00.000Z,FLAT,TRAIN,2022-03,-2.42,STOP,6
AVAXUSDT,LiquiditySweepLong,LONG,2022-03-13T00:00:00.000Z,FLAT,TRAIN,2022-03,-1.15,STOP,3
AVAXUSDT,EmaRetestLong,LONG,2022-03-29T16:00:00.000Z,UP,TRAIN,2022-03,-3.08,STOP,1
AVAXUSDT,EmaRetestLong,LONG,2022-04-02T00:00:00.000Z,UP,TRAIN,2022-04,3.61,TP1,2
AVAXUSDT,EmaRetestLong,LONG,2022-04-03T00:00:00.000Z,UP,TRAIN,2022-04,-3.03,STOP,9
AVAXUSDT,EmaRetestLong,LONG,2022-04-05T08:00:00.000Z,UP,TRAIN,2022-04,-2.56,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-04-12T00:00:00.000Z,UP,TRAIN,2022-04,5.86,TP1,9
AVAXUSDT,EmaRetestLong,LONG,2022-04-13T20:00:00.000Z,UP,TRAIN,2022-04,-1.90,STOP,4
AVAXUSDT,EmaRetestLong,LONG,2022-04-16T20:00:00.000Z,UP,TRAIN,2022-04,-1.52,STOP,6
AVAXUSDT,EmaRetestLong,LONG,2022-04-19T04:00:00.000Z,UP,TRAIN,2022-04,2.75,TP2,2
AVAXUSDT,EmaRetestLong,LONG,2022-04-21T00:00:00.000Z,UP,TRAIN,2022-04,-1.72,STOP,4
AVAXUSDT,LiquiditySweepLong,LONG,2022-04-24T16:00:00.000Z,UP,TRAIN,2022-04,-0.99,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-04-25T12:00:00.000Z,UP,TRAIN,2022-04,-2.95,STOP,19
AVAXUSDT,LiquiditySweepLong,LONG,2022-04-28T16:00:00.000Z,UP,TRAIN,2022-04,-1.03,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-04-29T04:00:00.000Z,UP,TRAIN,2022-04,-2.28,STOP,1
AVAXUSDT,EmaRetestLong,LONG,2022-05-03T08:00:00.000Z,UP,TRAIN,2022-05,-1.83,STOP,1
AVAXUSDT,EmaRetestShort,SHORT,2022-05-04T12:00:00.000Z,DOWN,TRAIN,2022-05,-2.66,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-05-08T04:00:00.000Z,DOWN,TRAIN,2022-05,-2.87,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-05-18T08:00:00.000Z,DOWN,TRAIN,2022-05,5.15,TP1,1
AVAXUSDT,EmaRetestShort,SHORT,2022-05-22T00:00:00.000Z,DOWN,TRAIN,2022-05,-2.17,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-06-09T00:00:00.000Z,DOWN,TRAIN,2022-06,-2.89,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-06-10T04:00:00.000Z,DOWN,TRAIN,2022-06,4.63,TP1,2
AVAXUSDT,EmaRetestShort,SHORT,2022-06-17T08:00:00.000Z,DOWN,TRAIN,2022-06,5.34,TP1,5
AVAXUSDT,EmaRetestShort,SHORT,2022-06-28T08:00:00.000Z,DOWN,TRAIN,2022-06,-3.02,STOP,1
AVAXUSDT,EmaRetestShort,SHORT,2022-07-03T04:00:00.000Z,DOWN,TRAIN,2022-07,-3.03,STOP,4
AVAXUSDT,EmaRetestShort,SHORT,2022-07-10T08:00:00.000Z,DOWN,TRAIN,2022-07,8.04,TP2,9
AVAXUSDT,EmaRetestShort,SHORT,2022-07-24T00:00:00.000Z,DOWN,TRAIN,2022-07,-2.66,STOP,1
AVAXUSDT,EmaRetestShort,SHORT,2022-07-24T20:00:00.000Z,DOWN,TRAIN,2022-07,5.40,TP1,1
AVAXUSDT,EmaRetestShort,SHORT,2022-08-01T04:00:00.000Z,DOWN,TRAIN,2022-08,4.18,TP1,5
AVAXUSDT,EmaRetestShort,SHORT,2022-08-12T08:00:00.000Z,DOWN,TRAIN,2022-08,-2.79,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-08-14T12:00:00.000Z,DOWN,TRAIN,2022-08,5.43,TP1,8
AVAXUSDT,EmaRetestShort,SHORT,2022-08-16T12:00:00.000Z,DOWN,TRAIN,2022-08,5.34,TP1,6
AVAXUSDT,EmaRetestShort,SHORT,2022-08-21T20:00:00.000Z,DOWN,TRAIN,2022-08,4.80,TP1,3
AVAXUSDT,EmaRetestShort,SHORT,2022-08-23T04:00:00.000Z,DOWN,TRAIN,2022-08,-2.27,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-08-24T20:00:00.000Z,DOWN,TRAIN,2022-08,5.18,TP1,10
AVAXUSDT,LiquiditySweepLong,LONG,2022-08-27T16:00:00.000Z,DOWN,TRAIN,2022-08,-1.76,STOP,1
AVAXUSDT,EmaRetestShort,SHORT,2022-08-30T20:00:00.000Z,DOWN,TRAIN,2022-08,-3.04,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-08-31T04:00:00.000Z,DOWN,TRAIN,2022-08,4.48,TP1,8
AVAXUSDT,EmaRetestShort,SHORT,2022-09-02T00:00:00.000Z,DOWN,TRAIN,2022-09,-1.23,STOP,1
AVAXUSDT,EmaRetestShort,SHORT,2022-09-02T04:00:00.000Z,DOWN,TRAIN,2022-09,-2.13,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2022-09-04T04:00:00.000Z,DOWN,TRAIN,2022-09,-1.88,STOP,10
AVAXUSDT,EngulfingRally,SHORT,2022-09-06T12:00:00.000Z,DOWN,TRAIN,2022-09,4.08,TP2,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-09-07T04:00:00.000Z,DOWN,TRAIN,2022-09,5.61,TP1,11
AVAXUSDT,LiquiditySweepLong,LONG,2022-09-16T04:00:00.000Z,FLAT,TRAIN,2022-09,-1.67,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2022-09-16T20:00:00.000Z,FLAT,TRAIN,2022-09,-2.78,STOP,12
AVAXUSDT,LiquiditySweepLong,LONG,2022-09-22T00:00:00.000Z,FLAT,TRAIN,2022-09,5.62,TP1,4
AVAXUSDT,LiquiditySweepLong,LONG,2022-10-02T00:00:00.000Z,FLAT,TRAIN,2022-10,-0.92,STOP,2
AVAXUSDT,BreakoutShort,SHORT,2022-10-02T08:00:00.000Z,FLAT,TRAIN,2022-10,-2.76,STOP,9
AVAXUSDT,BreakoutShort,SHORT,2022-10-07T12:00:00.000Z,FLAT,TRAIN,2022-10,5.38,TP1,21
